	content	clean_str	name_str
0	每个月，天津思腾合力北京分公司的部分员工都要在北京和天津之间往返至少两次。自从四年前公司总部由北京中关村搬到了天津经开区，这种“双城模式”就成为了常态。历时五年建设，连接北京和天津滨海新区的京滨铁路开通在即，企业创始人王伟对这条有“京津第二城际”之称的铁路充满期待：“京滨铁路通车以后，从北京到滨海的通行时间大约只需要1小时，能够明显节省我们的员工在京津两地的通勤时间，对企业的发展无疑是一大利好。”很快，随着京滨铁路、京唐铁路两条连接京津的城际铁路通车，更多精彩的“双城故事”又即将在京津两地上演。	http://img1.bjd.com.cn/2022/11/20/10243670a4adf1bbfb03712f54a57a88ff7c7de3.png	10243670a4adf1bbfb03712f54a57a88ff7c7de3.png
1	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，首都医科大学附属北京地坛医院院长、国家传染病医学中心北京主任金荣华介绍，近日，北京连续报告本土新冠肺炎确诊病例，按照北京新冠肺炎疫情防控工作领导小组医疗救治和防院感组的部署，北京地坛医院作为定点救治医院，严格执行新冠肺炎诊断治疗标准，规范开展院感防控和医疗救治工作。截至11月20日7时，北京地坛医院在院新冠肺炎病毒感染者共608例，普通型6例、轻型431例、无症状感染者171例，其中，符合《新型冠状病毒肺炎诊疗方案（试行第九版）》高危因素人群的患者325例。病例平均年龄52岁，14岁以下儿童77例，最小年龄3个月；孕产妇19例；60岁以上老年患者268例，其中，80岁至90岁老年患者68例，90岁以上老年患者22例，最大年龄106岁。60岁以上老年患者中，95%合并一种基础病，90%合并两种基础病，80%合并三种及以上基础病。这些基础病多为心血管、呼吸系统、神经—精神系统、内分泌、风湿—骨关节及血液系统等疾病。	http://img.bjd.com.cn/p/2022/11/20/2d8c01c9db34f022677fa62dbc7b66c7.jpg	2d8c01c9db34f022677fa62dbc7b66c7.jpg
2	针对网传“郑州4个月大女婴夭折”事件，郑州市纪委监委会同郑州市卫健委组成核查组，本着实事求是、客观公正的原则，采取谈话问询、调取资料、实地核查等方式开展调查，现将有关情况通报如下：	http://img.bjd.com.cn/p/2022/11/20/191c697b5fa35fd27cb95278f67118f8.jpg	191c697b5fa35fd27cb95278f67118f8.jpg
3	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，朝阳区副区长杨蓓蓓倡议朝阳群众周一继续减少流动，非必要不离开本区域，鼓励采用电话、网络灵活办公方式，召开会议优先采用视频方式，不聚餐、不聚会，不串门。	http://img.bjd.com.cn/p/2022/11/20/92125a1ed78b408e131cff899ee6d6de.jpg	92125a1ed78b408e131cff899ee6d6de.jpg
4	美国2022年中期选举结果基本明朗。据美国媒体测算和统计，在本次国会换届选举中，共和党从执政的民主党手中夺下众议院控制权，民主党守住参议院多数党地位，美国再一次迎来“分裂”国会。分析人士指出，这次中期选举深刻反映出美国不断加剧的政治极化和民意撕裂。民主、共和两党分控国会两院，预计党派纷争、“否决政治”将愈演愈烈，从而加剧美国政治失灵。	http://img.bjd.com.cn/p/2022/11/20/4422b3e44b3434053db9cd3d2f95b9a9.jpg	4422b3e44b3434053db9cd3d2f95b9a9.jpg
5	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，朝阳区副区长杨蓓蓓介绍，11月19日0时至24时，朝阳区新增15例本土确诊病例和303例无症状感染者，其中55例为社会面筛查发现，263例为隔离观察人员。11月20日0时至15时，朝阳区新增新冠肺炎病毒感染者357例，84例为社会面筛查人员，273例为隔离观察人员。	http://img.bjd.com.cn/p/2022/11/20/9ea5d28a675980464d3e89bf59f53223.jpg	9ea5d28a675980464d3e89bf59f53223.jpg
6	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，市疾控中心副主任刘晓峰提示，市民要增强防护意识，减少不必要外出，做好自身防护。冬季天气寒冷，人员在密闭场所活动时间增多，呼吸道传染病发生风险加大，要避免去人多拥挤的场所，在乘坐公共交通工具、电梯、前往医院就诊等人多且相对密闭场所一定要戴好口罩，保持安全社交距离。开窗通风是预防呼吸道传染病的重要手段之一，即使天气寒冷也要择时开窗通风，打开门窗形成对流，保证室内空气流动，家中有居家隔离人员时，其所在房间应关闭房门，单独开窗通风，开窗通风时要注意防寒保暖，尤其是家中有老人、孩子等抵抗力较弱人群，更应做好保暖防护。	http://img.bjd.com.cn/p/2022/11/20/51317f28b57fddcf6ef95ed868ce5f8b.jpg	51317f28b57fddcf6ef95ed868ce5f8b.jpg
7	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，市疾控中心副主任刘晓峰介绍，当前本市社会面筛查病例数迅速增加，存在多点多面社会面隐匿传播风险，疫情上升势头明显，叠加京外、境外输入及冬季流感等其他呼吸道传染病传播风险，疫情防控压力进一步增加。要充分认识疫情的复杂性和反复性，切实明确目标任务，优化防控措施，弥补短板漏洞，坚决果断遏制疫情蔓延势头。	http://img.bjd.com.cn/p/2022/11/20/dd21e3ab860db2b8805f99aa46eeb762.jpg	dd21e3ab860db2b8805f99aa46eeb762.jpg
8	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，市疾控中心副主任刘晓峰介绍，11月20日0时至15时，本市新增本土新冠肺炎病毒感染者516例，并公布了新增感染者详情。	http://img.bjd.com.cn/p/2022/11/20/3559347f63598d2e74a8bd2d7a349fc3.jpg	3559347f63598d2e74a8bd2d7a349fc3.jpg
9	11月20日，在北京市新型冠状病毒肺炎疫情防控工作第419场新闻发布会上，市疾控中心副主任刘晓峰介绍，11月20日0时至15时，本市新增本土新冠肺炎病毒感染者516例，其中，隔离观察人员381例、社会面筛查人员135例；朝阳区357例，昌平区41例，大兴区21例，丰台区16例，通州区15例，东城区14例，西城区13例，海淀区12例，顺义区8例，石景山区、门头沟区、密云区各4例，经济技术开发区3例，房山区2例，怀柔区、平谷区各1例；轻型46例、无症状感染者470例。	http://img.bjd.com.cn/p/2022/11/20/47a25cb38f03dbd4c9fee6e9c5abd83a.jpg	47a25cb38f03dbd4c9fee6e9c5abd83a.jpg
